Patient ID: 29, Timestamp: 1713380972784, Label: ECG, Data: 0.530048782996692
Patient ID: 18, Timestamp: 1713380972807, Label: ECG, Data: 0.6793456383676474
Patient ID: 67, Timestamp: 1713380972799, Label: ECG, Data: 0.31128389580367827
Patient ID: 65, Timestamp: 1713380972788, Label: ECG, Data: 0.18131482075023886
Patient ID: 13, Timestamp: 1713380972842, Label: ECG, Data: -0.0576332472219337
Patient ID: 91, Timestamp: 1713380972790, Label: ECG, Data: -0.27699467769399855
Patient ID: 97, Timestamp: 1713380972792, Label: ECG, Data: -0.12064279355468924
Patient ID: 66, Timestamp: 1713380972840, Label: ECG, Data: 0.17201754591013965
Patient ID: 4, Timestamp: 1713380972837, Label: ECG, Data: -0.15801812582867522
Patient ID: 31, Timestamp: 1713380972848, Label: ECG, Data: -0.39972926210334997
Patient ID: 96, Timestamp: 1713380972789, Label: ECG, Data: -0.08461562197138621
Patient ID: 60, Timestamp: 1713380972857, Label: ECG, Data: -0.31764898176836154
Patient ID: 11, Timestamp: 1713380972867, Label: ECG, Data: -0.21130557972603461
Patient ID: 44, Timestamp: 1713380972883, Label: ECG, Data: 0.5270422464847575
Patient ID: 88, Timestamp: 1713380972885, Label: ECG, Data: -0.08513805750594705
Patient ID: 43, Timestamp: 1713380972897, Label: ECG, Data: 0.7925598203499233
Patient ID: 81, Timestamp: 1713380972904, Label: ECG, Data: 0.2355377729009389
Patient ID: 39, Timestamp: 1713380972904, Label: ECG, Data: 0.043002678048632045
Patient ID: 20, Timestamp: 1713380972904, Label: ECG, Data: -0.4297697430801335
Patient ID: 99, Timestamp: 1713380972904, Label: ECG, Data: 0.2838604531305758
Patient ID: 69, Timestamp: 1713380972905, Label: ECG, Data: -0.49015136467013043
Patient ID: 29, Timestamp: 1713380973788, Label: ECG, Data: 0.7609522599508591
Patient ID: 65, Timestamp: 1713380973788, Label: ECG, Data: -0.46981999393761326
Patient ID: 96, Timestamp: 1713380973789, Label: ECG, Data: 0.5277594582696857
Patient ID: 91, Timestamp: 1713380973790, Label: ECG, Data: 0.08358440593282236
Patient ID: 97, Timestamp: 1713380973792, Label: ECG, Data: -0.21495805085176617
Patient ID: 10, Timestamp: 1713380973796, Label: ECG, Data: 0.7471639165257393
Patient ID: 80, Timestamp: 1713380973797, Label: ECG, Data: 0.2649742341189434
Patient ID: 67, Timestamp: 1713380973804, Label: ECG, Data: 0.4696520509514214
Patient ID: 74, Timestamp: 1713380973805, Label: ECG, Data: 0.7748132118222577
Patient ID: 18, Timestamp: 1713380973808, Label: ECG, Data: 0.6979911577402015
Patient ID: 54, Timestamp: 1713380973835, Label: ECG, Data: 0.49575672742478893
Patient ID: 38, Timestamp: 1713380973835, Label: ECG, Data: -0.5356878010330179
Patient ID: 4, Timestamp: 1713380973838, Label: ECG, Data: 0.200678424170792
Patient ID: 66, Timestamp: 1713380973841, Label: ECG, Data: -0.07871947997149557
Patient ID: 13, Timestamp: 1713380973843, Label: ECG, Data: -0.47604311583765346
